tray,hall,room_start,room_end
1,Cedar,E206A,E413,
2,Cedar,E414A,E704B
3,Cedar,E704C,W402B
4,Cedar,W402C,W602D
5,Cedar,W603A,W714D
5,Poplar,203,208
6,Poplar,303,520
7,Poplar,521,729
8,SC,A101-1,B113-5
9,SC,B113-6,B125-5
10,SC,B125-6,C143-1
11,SC,C143-2,D157-5
12,SC,D157-6,K205-1
13,SC,K205-2,L211-2
14,SC,L211-3,L411-4
15,SC,L412-1,M408-4
15,Alder,250,260
16,Alder,262,406
17,Alder,408,529
18,Alder,530,652
19,Alder,654,774
20,Alder,775,790
20,Elm,203,404
21,Elm,405,535
22,Elm,536,720
23,Elm,722,748
23,Mercer,A417A,A509A
24,Mercer,A509B,A703D
25,Mercer,A704A,A813D
26,Mercer,A901A,B401D
27,Mercer,B402A,B511E
28,Mercer,B601A,B711A
29,Mercer,B711B,C314C
30,Mercer,C314D,C601A
31,Mercer,C601B,C802A
32,Mercer,C802B,D404D
33,Mercer,D406,D704D
34,Mercer,D706,E408C
35,Mercer,E408D,E708C
36,Mercer,E708D,E810
36,Lander,303,439
37,Lander,440,543
38,Lander,544,647
39,Lander,648,754
40,Lander,756,859
41,Lander,860,883
41,Terry,303,434
42,Terry,436,646
43,Terry,647,843
43,Maple,304,344
44,Maple,354,494
45,Maple,496,592
46,Maple,594,690
47,Maple,692,789
48,Maple,790,888
49,Maple,889,898
